method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,1032.098323445387,1032.098323445387,1.7936822009086608,0.0397265625

Algorytm Strategii Ewolucyjnych,542.4630122290266,542.4630122290266,0.5378284811973572,0.004296875

Algorytm Genetyczny,128.45685298240835,128.45685298240835,0.46759030103683474,0.0036328125

System Sztucznego Rozpoznawania Ukladu Immunologicznego,1141.798687829956,1141.798687829956,0.36361529588699343,0.0058984375

Algorytm Selekcji Klonalnej,1083.3570961789117,1083.3570961789117,32.94879764318466,0.3258203125

Algorytm Komorek Dendrytycznych,1238.9320321605921,1238.9320321605921,0.3288715672492981,0.001875

Algorytm Harmonijnego Przeszukiwania,676.2415082840571,676.2415082840571,0.24593237400054932,0.001875

Algorytm Symulowanego Wyzarzania,1413.31924547165,1413.31924547165,0.2338413667678833,7.8125e-05

Algorytm Memetyczny,1.365180633866893,1.365180633866893,31.043622641563417,-0.4480078125

Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,913.5264806872402,913.5264806872402,0.5034407949447632,0.00109375

Losowe Poszukiwanie,1159.3771024896055,1159.3771024896055,0.23418904542922975,0.0

Przeszukiwanie z Zakazem,916.5196310788489,916.5196310788489,0.5052480220794677,0.0008984375

System Mrowkowy,1013.3684046520996,1013.3684046520996,0.2988091707229614,0.0010546875

Algorytm Optymalizacji Rojem Czastek,924.8589472284107,924.8589472284107,0.4991097927093506,0.00375

Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,413.28468631623537,413.28468631623537,164.03240871429443,0.71875
