method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,2.1172896991453033e-15,2.1172896991453033e-15,0.24943925380706788,7.8125e-05
Algorytm Strategii Ewolucyjnych,5.463739896748602e-09,5.463739896748602e-09,0.2512157678604126,0.00046875
Algorytm Genetyczny,0.0014141674085414503,0.0014141674085414503,0.25861745834350586,0.000390625
System Sztucznego Rozpoznawania Ukladu Immunologicznego,0.06449380621569113,0.06449380621569113,0.24971123933792114,0.0012109375
Algorytm Selekcji Klonalnej,4.079317366752409e-07,4.079317366752409e-07,1.622455792427063,0.0158203125
Algorytm Komorek Dendrytycznych,0.04442509819581276,0.04442509819581276,0.24836058855056764,0.0001171875
Algorytm Harmonijnego Przeszukiwania,0.33880923897812687,0.33880923897812687,0.2349026918411255,0.0001953125
Algorytm Memetyczny,4.6567549848771835e-08,4.6567549848771835e-08,1.6443388366699219,0.0015625
Algorytm Symulowanego Wyzarzania,1.3904187955720164,1.3904187955720164,0.23381500005722045,0.0
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,0.013521111384323927,0.013521111384323927,0.25797390699386596,0.0
Losowe Poszukiwanie,1.2434319503962528,1.2434319503962528,0.23381510734558106,0.0
Przeszukiwanie z Zakazem,0.013892454855770302,0.013892454855770302,0.2543364453315735,0.0
System Mrowkowy,0.11947770870703288,0.11947770870703288,0.23605545997619629,0.0
Algorytm Optymalizacji Rojem Czastek,0.01068747773688212,0.01068747773688212,0.2505167078971863,0.0004296875
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,4.145869393144253e-05,4.145869393144253e-05,15.193896124362945,0.0016015625
