method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,8.879507376804063e-06,8.879507376804063e-06,0.2339845561981201,0.000546875
Algorytm Strategii Ewolucyjnych,0.006797074750474106,0.006797074750474106,0.24351949214935303,0.000546875
Algorytm Genetyczny,0.007590150492962253,0.007590150492962253,0.24856948614120483,0.0005078125
System Sztucznego Rozpoznawania Ukladu Immunologicznego,2.3011908743152794,2.3011908743152794,0.23728803157806397,0.0022265625
Algorytm Selekcji Klonalnej,0.1656600817182499,0.1656600817182499,2.815359442234039,0.0155078125
Algorytm Komorek Dendrytycznych,3.4141098368399696,3.4141098368399696,0.23411725759506224,0.0001953125
Algorytm Harmonijnego Przeszukiwania,2.551864663137859,2.551864663137859,0.23348203897476197,0.0002734375
Algorytm Memetyczny,9.313509969754367e-08,9.313509969754367e-08,2.8390440797805785,0.001640625
Algorytm Symulowanego Wyzarzania,21.31806186079387,21.31806186079387,0.23312172889709473,3.90625e-05
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,1.6190172887840624,1.6190172887840624,0.24412634134292602,3.90625e-05
Losowe Poszukiwanie,16.395009291908433,16.395009291908433,0.2156797790527344,3.90625e-05
Przeszukiwanie z Zakazem,1.7603279636825369,1.7603279636825369,0.25817749977111815,0.0
System Mrowkowy,4.394096756795342,4.394096756795342,0.22182849168777466,3.90625e-05
Algorytm Optymalizacji Rojem Czastek,1.3581352694965603,1.3581352694965603,0.2516070961952209,0.0005859375
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.0031823582990135072,0.0031823582990135072,21.162924382686615,-0.3662109375
