method,average_function_value,average_error,average_time_duration,average_total_memory

Algorytm Ewolucji Roznicowej,0.8152648841841511,0.8152648841841511,0.2945731234550476,0.00171875
Algorytm Strategii Ewolucyjnych,2.1654940994395346,2.1654940994395346,0.2798692011833191,0.00125
Algorytm Genetyczny,0.06466165967621793,0.06466165967621793,0.2809017276763916,0.0012109375
System Sztucznego Rozpoznawania Ukladu Immunologicznego,72.7085555589458,72.7085555589458,0.2565052127838135,0.001875
Algorytm Komorek Dendrytycznych,41.79569813845375,41.79569813845375,0.2487449598312378,0.0002734375
Algorytm Selekcji Klonalnej,43.14481980229642,43.14481980229642,5.104836423397064,0.016875
Algorytm Harmonijnego Przeszukiwania,17.740433606282828,17.740433606282828,0.23296800136566162,0.0003515625
Algorytm Memetyczny,2.050834895339911e-06,2.050834895339911e-06,5.254899334907532,0.0021484375
Algorytm Symulowanego Wyzarzania,109.89351303602585,109.89351303602585,0.23290958404541015,3.90625e-05
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,25.809780979935507,25.809780979935507,0.2802338218688965,0.0
Losowe Poszukiwanie,79.16424392179096,79.16424392179096,0.23269912719726563,0.0
Przeszukiwanie z Zakazem,26.029480141528893,26.029480141528893,0.2813037729263306,3.90625e-05
System Kolonii Mrowek,47.74778625938382,47.74778625938382,0.23764627933502197,0.0001171875
Algorytm Optymalizacji Rojem Czastek,24.219925495968155,24.219925495968155,0.279492564201355,0.00125
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.025580167328721287,0.025580167328721287,34.01070938110352,0.021875
