method,function_value,error,arguments,time_duration,total_memory
Algorytm Ewolucji Roznicowej,0.988627795805133,0.988627795805133,"[0.38721181955417033, -0.20704568310011262, 0.27550906937983954, -0.13887241102669468, -0.5672015024892252, -0.2460959459412413, 0.46875582664248605, 0.31404348394983095]",0.3003828525543213,0.171875
Algorytm Ewolucji Roznicowej,0.8522082152875803,0.8522082152875803,"[0.11155811167768992, 0.5387725899276148, -0.15268966286835162, 0.10974277941343547, 0.4966071691151371, -0.08292231948511619, -0.34320321539838844, -0.37795006287048954]",0.29438042640686035,0.0
Algorytm Ewolucji Roznicowej,0.5140946369549861,0.5140946369549861,"[-0.5910036384225132, -0.2799392379113679, 0.20536828452120154, 0.09309303218630804, -0.045132553631091865, 0.03767744665778397, -0.15936482084530607, 0.08214153010595598]",0.29331111907958984,0.0
Algorytm Ewolucji Roznicowej,0.5881408287228544,0.5881408287228544,"[-0.420025083559386, -0.30478649882685294, 0.36378494172198034, -0.33349666500752095, -0.11105466990514734, -0.017995723638355887, -0.19008178627570338, -0.16271867560633374]",0.2950551509857178,0.0
Algorytm Ewolucji Roznicowej,0.5832222596027928,0.5832222596027928,"[-0.15032087401569172, 0.5252734133372956, -0.34620158275888513, 0.2981537970864858, -0.12648311829771114, 0.16161662860789672, -0.14408716859531634, -0.11438307150265162]",0.29352450370788574,0.0
Algorytm Ewolucji Roznicowej,0.9372429442751364,0.9372429442751364,"[-0.17672996258866724, 0.4453482550252686, -0.028819879157468753, -0.09015038382016323, 0.1833973540002326, -0.7348243064925185, -0.3142505746312354, 0.16236361872156002]",0.29244041442871094,0.0
Algorytm Ewolucji Roznicowej,1.1061242057179412,1.1061242057179412,"[-0.32817734464466347, -0.6322679384029064, 0.26057180728886453, -0.3971592779110844, -0.10262505937894828, 0.5340781403988821, -0.18030415372069952, -0.2115348216006524]",0.2950000762939453,0.0
Algorytm Ewolucji Roznicowej,1.3401120376687006,1.3401120376687006,"[0.27020363660309865, -0.8456333178856689, 0.3335670209399866, 0.11084996680573345, -0.4420384100971018, -0.16664736755578302, 0.3740470015815984, -0.2556779048150171]",0.2950778007507324,0.0
Algorytm Ewolucji Roznicowej,0.8029692130709017,0.8029692130709017,"[0.2352445306205515, -0.7269172647958622, -0.0018845259923123692, 0.08307480826588284, -0.43042721866756284, -0.014529319716981015, 0.08712690208892937, 0.13872905265352858]",0.2955491542816162,0.0
Algorytm Ewolucji Roznicowej,1.0333384308306977,1.0333384308306977,"[0.45202770292915895, 0.15539509263224982, -0.40111393184304817, 0.5861888529466579, 0.4778265180891441, 0.12208205846107978, 0.15598808336838377, 0.18110080514277305]",0.28972578048706055,0.0
Algorytm Ewolucji Roznicowej,0.7324310366064539,0.7324310366064539,"[-0.1602754510986567, -0.48664434594977934, -0.05121789227217155, -0.17413538476016116, -0.49711411890978735, 0.12732393360331856, -0.04773680643698244, -0.4139577976628005]",0.3022494316101074,0.0
Algorytm Ewolucji Roznicowej,0.5725700015242783,0.5725700015242783,"[0.2445112522930868, 0.15563128522577274, -0.5656058186094026, 0.23099716377942703, 0.33028146490475907, -0.021162384582748883, -0.06205725815724061, -0.04368895164124248]",0.294405460357666,0.0
Algorytm Ewolucji Roznicowej,0.6177588724461593,0.6177588724461593,"[0.012502855715357641, 0.6553757279875201, 0.25812903681699484, 0.22666965505045578, 0.2022193966057511, -0.10588691918094756, -0.13349616718096535, 0.012227974973457687]",0.2954287528991699,0.0
Algorytm Ewolucji Roznicowej,0.8180484757877919,0.8180484757877919,"[0.19825157634364643, 0.18021194117483744, -0.19708442853716565, 0.31888458832921146, 0.17398561910033117, 0.34801186608405976, 0.2678996373023258, -0.6185348184391753]",0.29496264457702637,0.0
Algorytm Ewolucji Roznicowej,0.8962881044345847,0.8962881044345847,"[0.21233829750947775, -0.06406224032843957, -0.10690683448807237, -0.6982401641291632, -0.20557359530956032, -0.24859387572153335, -0.3459248314550878, 0.3527106122504663]",0.2961118221282959,0.0
Algorytm Ewolucji Roznicowej,0.8924843293464984,0.8924843293464984,"[0.4687529394105465, -0.04081733936415344, 0.3747736232154799, 0.6330916393079452, 0.25190890011320005, 0.07242101010641966, -0.1180326861252105, -0.21724192015587984]",0.2939484119415283,0.0
Algorytm Ewolucji Roznicowej,0.43304366990022464,0.43304366990022464,"[-0.2068868793270029, -0.3045117314088145, -0.18778389579478183, 0.2904460070459224, -0.3599656233860101, 0.057869980405382604, -0.06568159584543495, -0.20162877593135875]",0.29563069343566895,0.0
Algorytm Ewolucji Roznicowej,0.9927013093027373,0.9927013093027373,"[-0.1583280385653005, 0.05135458558913625, 0.3173333000401595, -0.3135692234264299, -0.345562676196221, -0.4320155062428903, 0.04764317955396147, -0.6764978444008021]",0.29685449600219727,0.0
Algorytm Ewolucji Roznicowej,0.9345895734497267,0.9345895734497267,"[-0.4888052950801689, 0.3396754601488814, 0.12089461890925479, 0.2967059138780213, 0.4177428320343616, 0.007899070274163145, -0.4788458817288626, -0.2715967286927051]",0.2968156337738037,0.0
Algorytm Ewolucji Roznicowej,1.162421148632588,1.162421148632588,"[-0.17707365727470206, -0.3241531056865881, 0.20380398044474346, -0.5984307486628342, -0.6146521768855722, 0.04538410753692057, -0.4656510463038037, -0.17218448398297947]",0.29783201217651367,0.0
Algorytm Ewolucji Roznicowej,2.209545913473788,2.209545913473788,"[0.2806582850724002, -0.17914374133032773, -0.7510651251018564, 0.22031696377975174, 0.08143376960432042, 0.8813592170641453, -0.7926919428330592, 0.27250675073187003]",0.2969522476196289,0.0
Algorytm Ewolucji Roznicowej,0.6182469003673497,0.6182469003673497,"[-0.2981775731571147, 0.081299636457636, 0.05121341004431795, -0.03218767180475693, -0.007501732122645405, -0.5712604088753381, 0.3426670614265652, 0.27432298307065967]",0.2952919006347656,0.0
Algorytm Ewolucji Roznicowej,0.7881892408206843,0.7881892408206843,"[0.7055650212392736, 0.04765847941918713, -0.3443501717045817, 0.2350367021750836, 0.07056365797855368, 0.013634934407685761, -0.11196302302594485, 0.3107664059268961]",0.29200243949890137,0.0
Algorytm Ewolucji Roznicowej,0.8165202730875252,0.8165202730875252,"[0.11564429280227484, -0.24911794779469876, -0.6002066431622013, 0.4422864183507267, -0.04816607537573628, 0.2398743881084537, 0.17309943707069242, -0.3088665089664074]",0.2960076332092285,0.0
Algorytm Ewolucji Roznicowej,1.0365192284691764,1.0365192284691764,"[-0.1592218575357261, -0.00017529194529841696, -0.3395708288998436, -0.1586275070764963, -0.43931218966758734, 0.4445495979702876, 0.3536528224579154, 0.595824386967526]",0.29337453842163086,0.0
Algorytm Ewolucji Roznicowej,0.6228884169493785,0.6228884169493785,"[-0.22921155659563663, 0.14599173252238862, 0.24791694057139824, -0.0010348869341750139, -0.16289221057365555, 0.4809227945266965, 0.25068579208232133, -0.4085450280952716]",0.2956199645996094,0.0
Algorytm Ewolucji Roznicowej,0.3592437268001826,0.3592437268001826,"[-0.20450597043112373, 0.1481849295526833, -0.2312473019782738, -0.06233344679562486, 0.0071330700737688435, -0.25181350329497365, 0.41250485639749696, -0.06693512208201828]",0.29296302795410156,0.0
