method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,0.020003744484957467,0.020003744484957467,0.26862297296524046,0.00109375
Algorytm Strategii Ewolucyjnych,0.8829944090154273,0.8829944090154273,0.2658234119415283,0.00125
Algorytm Genetyczny,0.02259416100077295,0.02259416100077295,0.26970113277435304,0.0012109375
System Sztucznego Rozpoznawania Ukladu Immunologicznego,38.807948810422694,38.807948810422694,0.25171417236328125,0.0025
Algorytm Selekcji Klonalnej,12.142455738926339,12.142455738926339,3.8944185304641725,0.015625
Algorytm Komorek Dendrytycznych,15.71294861163442,15.71294861163442,0.24405035018920898,0.000234375
Algorytm Harmonijnego Przeszukiwania,8.7729232267087,8.7729232267087,0.233425133228302,0.000390625
Algorytm Memetyczny,2.3656315323176086e-07,2.3656315323176086e-07,4.136438772678376,0.0027734375
Algorytm Symulowanego Wyzarzania,60.938584626272224,60.938584626272224,0.2131377053260803,3.90625e-05
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,9.810393065899273,9.810393065899273,0.2714890217781067,3.90625e-05
Losowe Poszukiwanie,44.465506714766455,44.465506714766455,0.23302997827529906,0.0
Przeszukiwanie z Zakazem,9.694846745126473,9.694846745126473,0.2729752731323242,0.0
Algorytm Optymalizacji Rojem Czastek,8.547444275189736,8.547444275189736,0.2657314729690552,0.00125
System Kolonii Mrowek,20.544587469343078,20.544587469343078,0.2361895775794983,3.90625e-05
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.015293978497729866,0.015293978497729866,27.302511382102967,0.015625
