method,function_value,error,arguments,time_duration,total_memory
Algorytm Ewolucji Roznicowej,996.2639592640585,996.2639592640585,"[-1.1594119303112134, 2.6121551920507375, 4.643775273013286, 1.999472335173344, 2.8004768457811977, 4.915666786824694, -0.09057766987441873, 5.539355733662738, 5.13222684503549, 0.29300955370235293, 8.730891711532369, -4.66570616578434, 4.1142673698933745, 5.094141186555612, -2.7544197262236114, -4.539376557388877, 8.734099501019767, 3.7599929557661493, -5.970988492004756, -1.8750334447129653, -5.938846828017324, -9.409015840725798, -7.609011444101852, -2.511133715944222, 3.3214033718988354, -1.528987409203033, 0.6818559578497378, -0.61967023406587, -2.569147938826564, -1.940145152805302, -3.1591173322351107, -5.8357531295411675, 1.1255448372729724, 8.841259980384056, -0.9276503942439707, -3.772256689996256, -4.389026392823084, -0.44303499055537365, 1.1363633128316852, 6.852408538208447, -0.3454505801767489, -2.411621377208366, -5.764648602754603, -0.3592409396081404, 2.0553692816249196, -2.369005553098667, 5.319404409560224, 6.718486308113725, 5.660526530108825, -1.1357209687597507]",1.8085932731628418,2.98828125
Algorytm Ewolucji Roznicowej,1075.6536271972811,1075.6536271972811,"[5.716928656672529, 5.536206286373574, -4.930955177923857, 6.928260489457255, -5.582370492378015, 0.22837124903131212, -5.825339894261385, -2.7589758150018318, 6.02841792325944, 3.432994158788933, 0.785807125661167, -7.8943199804060455, 1.692498063860251, 6.975518761559208, -3.7528229483137547, 0.8931531150053313, 0.4683121947429125, 2.6464767604728223, 2.7298335380652112, 4.851198766747256, 2.0571681334778305, 6.6976570746291415, 6.400590004299971, 9.40874324213831, -6.295571640000754, 1.1185205860324299, 3.0788065174690438, 4.267254518625673, 0.07224666200962737, 1.2282123030650425, -1.8271539789391955, 1.5908901006125387, -0.07005287947302463, -7.911226985432503, 2.0130675166353527, -4.944013745193083, -2.198926480706051, -3.517612682440352, -4.051218305521549, -0.292405926685003, -5.9276299229068785, -7.986889741441178, 3.7151792603356704, -4.301703321505707, 4.903712419002943, -7.021478174299598, -3.701368930611255, -5.935294099960142, -3.542779708738342, -2.4840431334512925]",1.766721487045288,0.0
Algorytm Ewolucji Roznicowej,1025.1203572456527,1025.1203572456527,"[6.147469777988576, -2.274215353015599, 2.399166405931938, 9.510010638868888, -2.8336529253055565, 4.8585593325963945, -6.402112255585964, -1.8088948639235127, 8.253220876009816, -5.571196007607682, -1.154269793686387, -0.015025241034704706, 1.4365453281139615, 6.177130362862076, 4.174641716350358, -3.999973653767677, -3.020639903963602, -4.718299791991834, -4.694861809718351, 4.727178961149015, 8.979025373972117, -1.2136073956366324, -3.078196859840416, 2.9174709364242997, -3.5400568713995773, -4.70652295572947, -0.7381746628419723, -2.809944876704165, 4.788420669823012, 6.471287351692418, 6.987776976677317, -2.4323457298175644, 4.3011234365261934, 1.4816730491575107, 4.077711845781673, 1.4385125613090644, 8.728129679276716, -1.6034451812637371, -0.34784679535903074, 4.001576053232265, 2.1898765681904564, -1.6715706171357052, -1.4552958505379348, -4.917104849538783, 0.1823287219320342, 2.5592240174628884, 6.249276594959664, 7.157326579432915, -5.285250284638254, 2.106812623741945]",1.8015923500061035,0.0
Algorytm Ewolucji Roznicowej,1049.2806511732633,1049.2806511732633,"[3.368616648359267, -1.170197956822367, -2.984431706583469, -4.499251740639038, 1.6585369272082966, -1.21667324558228, 10, 8.655589487786123, 6.567939373195922, -1.403030928008083, -1.5239419964357115, -2.8950356482550124, 6.938520306550354, -0.8168068771583457, 2.6658025718705396, 0.1514918153383853, -2.425476141726998, 2.9028294781784467, 7.243695246306444, -0.4544232058158535, 3.6016827826541356, -2.299639658654078, -5.497984968687204, 3.2287482664821097, 1.1678408691444933, -4.032195698747435, 1.9549630445261563, 8.654535322784467, -4.008104334651367, 0.7927977828875101, 4.982389144866682, -2.6324085555361787, 1.6061385908201722, -6.514456025843553, 2.615890066109806, 1.5712037424732834, 3.311953156539522, 7.464940890978507, 2.9235706628096096, 3.3721023444078364, -2.167019341890297, -9.607528861551158, 5.076913722840555, -3.25917462414316, -3.4127440403602822, 9.998786329979302, 0.9153813161092734, -7.039197611246126, 0.8705887270823123, -2.9516831757993964]",1.7769064903259277,0.0
Algorytm Ewolucji Roznicowej,973.3111418804594,973.3111418804594,"[3.410020368826005, 0.6374099727562363, 0.5254810525105444, -2.617920031970015, 6.34760932348185, 2.085778016331531, -5.2675334656042185, 6.033270360773608, 0.3936840030759132, 1.0151928952626728, -0.06911188261227785, 1.6520448979237274, 4.985778878186075, -3.753723016664448, 3.2417017798553087, 2.235160340828923, -1.320471308564592, 3.1306627802631684, -2.7271605100058833, -4.616039646386093, -1.5569242763543296, 4.538331973308728, -3.458207801407134, -3.736041973078561, -2.8624006651855822, 0.939081842755628, -0.9258432935473913, 1.272614260312042, -10, -10, -9.619454108842284, -10, -0.0494578108009221, 1.0532320023404749, -3.7356908518941108, -4.52463434571224, 2.3198210744367227, -6.796491341360442, 1.8920192674000216, 0.5577891448606991, 1.2983732532612575, -3.490426533351698, -2.445332650404132, -5.4654677117102946, -1.085399818366017, 1.7424930816936182, 3.863648541588365, -4.923079312019199, 9.907749939412161, -3.377075127675395]",1.7919621467590332,0.0
Algorytm Ewolucji Roznicowej,1060.3070995837027,1060.3070995837027,"[0.2060042861746254, -0.7914097476522937, -3.1934646064272627, -1.8284499536074996, -4.221849028987464, 5.347369733852856, -7.226700815190606, 6.905228222684755, -1.3566768928169477, -2.285537445837031, 1.0032744917118208, -5.23253320212026, 7.410505781879678, -2.824648840656465, -4.178607145567261, 3.6378826690605166, 1.4610873444488792, 7.832694962899701, -9.064806255872806, 6.795025715048229, 4.439119466720694, 3.6994192912846806, 0.7371804885942872, -4.7692907041568455, -7.444341828885197, -0.8903962760879054, -4.48479335889691, 0.8320518628195295, -7.573249846974379, -3.7416242416997436, -1.4970491753202868, 2.1893837235590237, 6.624434548803428, 0.5017327130991696, 4.676545825520989, -3.9264112815384022, 1.5486652544779176, 5.627345670431376, 5.808031469790107, 1.0863202556808567, -6.908792084390825, 3.9595358460973564, -1.8571915098812468, 4.547041032049856, -3.489459620356536, 1.932332108994391, 7.850547834114593, -1.2912838215260063, -6.5647517290697515, 2.5646477691260223]",1.781672716140747,0.0
Algorytm Ewolucji Roznicowej,980.217894317311,980.217894317311,"[2.268003407976911, -3.0857062694615633, -0.5196580692775488, -5.403855957949513, 3.7197860231210385, -9.781510020490034, 3.3285406845148664, -1.6748741253325257, -1.8472822097599355, -2.669879765589666, -4.3410978731918455, 1.9225097524890984, 4.912279679706318, -2.638486164523348, 5.010858291968107, 3.513767558421142, -4.083129635925939, -2.0335561543069964, 9.001344395627306, 0.8219304061366621, -3.948668297681756, -7.881276422489993, -1.319295857991932, -1.7441672471088676, -5.349827268363878, -7.67902696036705, -5.758269731798851, 4.56441259917958, 1.638032970261543, -1.9632955902540328, 0.6136331095718148, 6.674526864942422, 5.875148676968834, 0.6396126208986992, -2.114830421000395, 0.5999603527371438, -1.9419209532307846, -0.7742218033889472, -6.3191885158002, -1.0345458265483956, -7.18500458171423, -9.9263157723459, 5.3156129871700575, 5.668809741160654, 0.635924565137687, -1.059409903762333, 2.4168058016287848, 2.079941163241072, -5.053294834724853, 0.32298045684568244]",1.8108229637145996,0.0
Algorytm Ewolucji Roznicowej,948.0775871497842,948.0775871497842,"[-0.6973852045391773, -2.9717146097102334, -3.3894336140082864, -2.873429616859829, 6.783639844829724, 2.813353546763114, -8.12009077314885, -3.340866098555132, 2.7914024688972, -0.6787309785333218, 0.9843310903750417, -0.8436090170688026, 2.4272355773660896, -5.708662814420851, 9.583129660196096, -2.229291134275228, 1.4134087175097618, -7.988648613499302, -0.5040957293670107, -9.83407413651882, 3.420929592441164, -2.400945475562107, -2.8320173734215643, 4.902293990558614, -1.7181185079829944, -1.3537621410692413, -1.056241099887158, -5.220439172839748, -7.251428361508068, -5.437067069281938, -3.9106024237970796, 2.0463097731097397, 0.4019741576135587, -4.875407517027817, 4.396884964493561, -2.9300584651562187, -2.040608590949568, -2.979183390687293, 3.8348852763206636, -0.9968824738720006, -3.197658804823769, 0.11077169228586126, -3.1320817691312643, -5.2563361417469245, 4.131985540953667, -0.7389333044540525, 8.687122295331623, 2.2983421054311286, 7.617703567866881, -3.3204874359188103]",1.807112216949463,0.25
Algorytm Ewolucji Roznicowej,1084.831670596502,1084.831670596502,"[-3.895534689498086, 0.40502465226712303, -4.045372014900015, -1.4040235533695444, -6.833959677865047, -5.094762045995848, -8.24702827021759, 0.2570170399692664, 5.906318258489883, -8.69571237861396, -1.9649495126079302, -0.1643298670950717, -2.31336080840909, 3.0293421219647527, 5.21189992464139, -9.01869769744161, 3.119991130267829, 2.898808080366173, -4.0179163222000795, 3.4382765015336663, 6.979978958465306, -1.539342203766731, 1.0622480253872784, -6.139273481256289, -1.669129291308753, -2.292552886107771, 1.3619085588615416, 6.462682029206977, -1.785155727347087, -1.5151018483999135, -7.199549086896924, -4.755444971353202, -3.346952050037535, -1.6740963899716998, 0.023049434660824986, -6.135827671552006, -2.1355484807188567, -0.1630982280665343, -9.479629106344259, -1.9552903766748404, -3.070214669161939, 3.736511875130308, -4.42067672484884, 4.864130180746811, -7.237418514663103, -6.615554573992782, -6.8482969373228775, -3.0560737581562254, 0.3669869181113423, 6.029816626830872]",1.8085637092590332,0.0
Algorytm Ewolucji Roznicowej,1038.2286877997085,1038.2286877997085,"[-3.8393160527177166, 2.9922503966434064, -0.9837858700350617, -4.2983478653833185, -10, 7.125003127843842, 5.503543406015691, 2.8433166921284156, 4.671299639294148, -9.4057771621416, -5.010547592922739, 8.570931737809016, -0.6762687105063634, -2.282573049151771, 5.690162895378148, -8.220314467199753, 1.9843780737850627, 0.05240580672260578, -1.547327980678241, -3.365279390169356, -1.7047386917757095, -4.411870657541387, -4.469137113100462, 6.207036927987456, -1.3894939073303778, 2.581228875311104, -2.3520525952639657, -3.3853569467928226, 1.0819873404393636, -1.9090812457062838, 3.671814518584223, 6.776589248123436, 2.6393826993108807, 6.785622815887366, 3.578397552399452, 10, 1.6295624365102679, 6.080624101886475, -1.1453488427339007, 0.360992620185557, -4.651614274334158, -4.186018485658909, -0.8069565315771277, 1.7997213098586258, 0.22961752709866978, -0.20500930488711755, 2.5972908518670152, -3.530809719654597, -1.2537814039691177, 5.6853039868988455]",1.8111357688903809,0.0
