method,function_value,error,arguments,time_duration,total_memory
Algorytm Ewolucji Roznicowej,6.622286941952234,6.622286941952234,"[-0.6855530374130094, 1.2598147655080867, 0.45278346295036087, 0.5773363630091645, -0.45900751472391155, 0.800336640998452, -1.146639020088414, 0.8103963308079203, -0.04846222945354062, 1.0962399876497355]",0.34421491622924805,0.23828125

Algorytm Ewolucji Roznicowej,6.371629338681173,6.371629338681173,"[-0.5767151277387197, 0.5126143815998083, 0.9194544506510313, 0.050960017202235086, 1.954172329747685, 0.3895783023895254, -0.7257994907999391, -0.41980677961175616, 0.31594932634073586, -0.39351585458210253]",0.32903242111206055,0.0

Algorytm Ewolucji Roznicowej,5.584106073089266,5.584106073089266,"[-0.26518984500018716, 0.7576098112768767, -1.0925101442952536, 0.022460914456485903, 0.0627126477054496, -1.3737135206254623, -0.7989955386239057, 0.9612668204548782, 0.3467745634884763, 0.4147563180066234]",0.34294724464416504,0.0

Algorytm Ewolucji Roznicowej,6.22188481518073,6.22188481518073,"[-0.016120643520233457, 0.9070852851264215, -0.3402550190502953, -1.0448978311239703, 0.08430213593384073, 1.2465623434033781, -0.4115377489748655, 0.6798400393982063, 0.5950746385401671, 1.2824009203504008]",0.34096598625183105,0.0

Algorytm Ewolucji Roznicowej,4.178152848085423,4.178152848085423,"[0.8233788627862986, 0.23059712757892203, 0.7735647699937841, 1.3547622662201861, -0.28625439950069986, 0.3306681618829036, 0.3740004684512336, -0.3371715461283159, 0.002657380961708755, -0.7539169262554876]",0.3414430618286133,0.0

Algorytm Ewolucji Roznicowej,8.525969117973625,8.525969117973625,"[0.13705687126621607, -0.16189146788891262, -0.18655019289894093, -1.3349841751312108, -0.05512252129663997, -0.3827469094069649, -1.139504460016605, 2.271293369776386, 0.09033582025974063, 0.22148075964095462]",0.3250739574432373,0.0

Algorytm Ewolucji Roznicowej,2.994041481752491,2.994041481752491,"[-0.05141345189229671, -0.26492307382961955, 0.9731333918518935, 0.4900537159942888, 0.02217673249190799, -0.044820379804107524, 1.139397259830657, -0.10536770810303725, 0.5698556600515219, -0.3122627802823113]",0.3276703357696533,0.0

Algorytm Ewolucji Roznicowej,3.912294893881965,3.912294893881965,"[0.665654143938718, -0.9141741555826917, 0.2811349300741106, -0.7859145585926461, -0.4351050227398321, -0.28093969998780355, 0.7704149626117276, -0.20127291736758535, -0.956648331005394, -0.34542292707410227]",0.3397998809814453,0.0

Algorytm Ewolucji Roznicowej,8.021311497478148,8.021311497478148,"[0.863919823233462, 1.3893573921224127, 0.07485632445583956, -0.5240664993324075, -0.6251303446236336, 1.69339863308721, 0.34102263432673063, -0.691858504574907, -0.4508417950656268, -1.00388300038351]",0.3283112049102783,0.0

Algorytm Ewolucji Roznicowej,4.35702641021757,4.35702641021757,"[0.12681066470011793, -0.2979189484132725, -0.18497948388450403, -0.3579210098706529, 0.19240568135802405, 0.7595314939774966, -0.439487270609749, -1.2850279649916025, 1.2470681671351658, 0.2762823285415614]",0.3243215084075928,0.0

Algorytm Ewolucji Roznicowej,5.2689274995947795,5.2689274995947795,"[0.6521609512333846, -0.5608143317793705, 1.6225601726898806, -0.47783027637815056, 0.32544791413245866, 0.1995874363008599, 0.24190878783426162, 0.6721197680789326, -0.3366319774618226, -0.9480190765289878]",0.32742786407470703,0.0

Algorytm Ewolucji Roznicowej,6.592567829168782,6.592567829168782,"[-0.42118726189335143, 0.13634582578260357, -0.16443119698851527, -0.11608759000358271, 1.6564441724014456, -0.06601429215429672, 0.3253594500155747, 0.5148112120299027, -0.9390083224046957, 1.534690138086692]",0.3261702060699463,0.0

Algorytm Ewolucji Roznicowej,5.316253393830744,5.316253393830744,"[1.4035963826496027, -0.46722895490231237, 0.30434758756849, 0.48695523214158687, -0.43731178129038073, -0.8248772453112279, -0.36533816281912346, -0.6564754642785355, 0.26950280283501327, -1.135511781947002]",0.32534217834472656,0.0

Algorytm Ewolucji Roznicowej,8.682095614441694,8.682095614441694,"[-0.06113083582230172, 0.2097091278862191, 2.2657440559219766, 0.8318169389668006, -1.1245052104030293, 0.2076995296529296, -0.22046331303258604, 1.1906345057836503, -0.13332033441238783, 0.13124479788271087]",0.3293435573577881,0.0

