method,function_value,error,arguments,time_duration
diffrential evolution algorithm,1.5685521821655213e-09,1.5685521821655213e-09,"[2.4323301096642604e-05, 2.7167879753391033e-05, 1.5454304113510638e-05]",0.03062152862548828
diffrential evolution algorithm,1.4762642444467152e-09,1.4762642444467152e-09,"[-3.393369296313985e-05, -4.27028708526434e-06, 1.7508094543367447e-05]",0.030091524124145508
diffrential evolution algorithm,2.596034890452592e-08,2.596034890452592e-08,"[-8.130724300285536e-05, 5.2913494847306604e-05, -0.0001286454165636872]",0.028856277465820312
diffrential evolution algorithm,9.699137156687922e-09,9.699137156687922e-09,"[8.242656114191866e-05, -2.7819786629277828e-05, -4.6163390764835744e-05]",0.02907586097717285
diffrential evolution algorithm,3.231595617717433e-08,3.231595617717433e-08,"[8.100170016417309e-05, -0.00010649999442206924, -0.00012005178855721789]",0.028809785842895508
diffrential evolution algorithm,4.643978012170783e-10,4.643978012170783e-10,"[1.4607482473406127e-05, 1.0604017035690406e-05, -1.177174922061283e-05]",0.02907848358154297
diffrential evolution algorithm,4.935844576697861e-09,4.935844576697861e-09,"[-5.750600720109416e-05, -2.9775362247315537e-05, -2.7245761423140753e-05]",0.03124260902404785
diffrential evolution algorithm,2.8974639482201707e-10,2.8974639482201707e-10,"[-3.387214930540962e-06, 1.4855323908260706e-05, 7.588973673494678e-06]",0.028888940811157227
diffrential evolution algorithm,1.2359773789826398e-09,1.2359773789826398e-09,"[-2.8991494518848228e-05, -1.87759086398139e-05, 6.552547542413923e-06]",0.029090166091918945
diffrential evolution algorithm,1.987213820838377e-09,1.987213820838377e-09,"[3.859295039850416e-05, -7.623434345927263e-06, 2.0968577661594306e-05]",0.03647279739379883
diffrential evolution algorithm,1.304245458888069e-07,1.304245458888069e-07,"[0.00010956950553181292, -3.201918918707393e-05, -0.00034262784602265365]",0.02911972999572754
diffrential evolution algorithm,1.8137445721262906e-09,1.8137445721262906e-09,"[-4.106961656745583e-05, 1.1232041697206628e-05, 9.340270021042352e-07]",0.03031325340270996
diffrential evolution algorithm,4.488752941493552e-09,4.488752941493552e-09,"[4.81421170436854e-06, -6.2942710442211e-05, 2.2445300384424697e-05]",0.029220104217529297
diffrential evolution algorithm,2.679667138006086e-09,2.679667138006086e-09,"[1.584635682395322e-05, 1.6416170628981274e-05, 4.646578800896644e-05]",0.029561996459960938
diffrential evolution algorithm,2.179036371142081e-09,2.179036371142081e-09,"[-2.2395837732081626e-05, 3.413112089380589e-05, 2.2639112393218008e-05]",0.029622793197631836
diffrential evolution algorithm,8.681380593637054e-09,8.681380593637054e-09,"[-9.228654280263169e-05, -1.1206956201074308e-05, -6.243295915002382e-06]",0.027498245239257812
diffrential evolution algorithm,4.053361832801889e-09,4.053361832801889e-09,"[9.46975874949852e-06, -6.185314486594487e-05, -1.1741974800714874e-05]",0.028881311416625977
diffrential evolution algorithm,3.454397873623664e-09,3.454397873623664e-09,"[-1.4675062462962419e-05, -5.580424438208398e-05, 1.117706241713196e-05]",0.0325772762298584
diffrential evolution algorithm,5.6838861958251e-10,5.6838861958251e-10,"[-8.14631601436755e-06, 2.2268762363907515e-05, 2.475556049938088e-06]",0.029132366180419922
diffrential evolution algorithm,2.4235138846051593e-09,2.4235138846051593e-09,"[-3.595443435091796e-06, -2.286647596261213e-05, -4.344779566516e-05]",0.027083635330200195
diffrential evolution algorithm,6.888805229155332e-10,6.888805229155332e-10,"[-5.394139325039064e-06, -1.8086043779567322e-05, 1.823948475865408e-05]",0.029529571533203125
diffrential evolution algorithm,3.6680251733318057e-09,3.6680251733318057e-09,"[2.515302976987808e-05, 2.8724720636472958e-05, 4.701319698854798e-05]",0.0280764102935791
diffrential evolution algorithm,1.3240272906140875e-09,1.3240272906140875e-09,"[-1.644916361872743e-05, 9.560191607394945e-06, -3.101701215927022e-05]",0.029110431671142578
diffrential evolution algorithm,7.199297119331754e-10,7.199297119331754e-10,"[-1.6276064620383227e-05, -2.0302271769864547e-05, 6.545012863917531e-06]",0.030304431915283203
diffrential evolution algorithm,2.4326071217810428e-11,2.4326071217810428e-11,"[1.9519446357799938e-07, -3.8689248445933485e-06, 3.052767741916712e-06]",0.028677940368652344
diffrential evolution algorithm,2.707585266076344e-09,2.707585266076344e-09,"[-3.18367054384076e-05, 2.0115099256487977e-05, 3.590810820422108e-05]",0.02908611297607422
diffrential evolution algorithm,1.543165868185296e-08,1.543165868185296e-08,"[7.719809964620492e-05, -5.293414253354489e-05, -8.167061066935847e-05]",0.02885603904724121
diffrential evolution algorithm,1.1649814845777428e-09,1.1649814845777428e-09,"[1.8850616463289105e-07, 2.6032087937756737e-05, 2.207433685537435e-05]",0.029331684112548828
diffrential evolution algorithm,1.21703665463425e-08,1.21703665463425e-08,"[8.588879201564046e-05, 3.388032542392996e-05, -6.037884978703353e-05]",0.03869009017944336
diffrential evolution algorithm,2.927905773818844e-09,2.927905773818844e-09,"[1.9411706182114407e-05, -1.7745683436497608e-05, -4.728828772846105e-05]",0.033255577087402344
diffrential evolution algorithm,1.1086621122739556e-09,1.1086621122739556e-09,"[4.973929847753016e-06, 7.516626528249326e-06, -3.205343132612179e-05]",0.03001880645751953
diffrential evolution algorithm,9.043588442593167e-09,9.043588442593167e-09,"[-8.345254202856126e-05, 4.414517984675635e-05, -1.1422117485909537e-05]",0.0285336971282959
diffrential evolution algorithm,2.02894214723008e-09,2.02894214723008e-09,"[1.9273972185342676e-05, 3.2546341071043475e-05, -2.4457960387489912e-05]",0.028666019439697266
diffrential evolution algorithm,1.8241185648255288e-09,1.8241185648255288e-09,"[-2.9567192244843888e-06, 1.6584886941376818e-05, 3.924688397051213e-05]",0.028076887130737305
diffrential evolution algorithm,5.279883514096842e-10,5.279883514096842e-10,"[-1.425560941037308e-06, 6.601595958147323e-06, 2.1963038455970656e-05]",0.02801370620727539
