method,function_value,error,arguments,time_duration,total_memory

diffrential evolution algorithm,3.5070493887685806e-16,3.5070493887685806e-16,"[-8.395475024687165e-09, -1.673980101395211e-08]",0.2279961109161377,0.015625
diffrential evolution algorithm,1.2237851923985371e-17,1.2237851923985371e-17,"[3.888470992295047e-10, 3.47658594851417e-09]",0.23440313339233398,0.0
diffrential evolution algorithm,6.414071141357874e-18,6.414071141357874e-18,"[-1.608751552163275e-09, -1.9560136974904156e-09]",0.23499846458435059,0.0
diffrential evolution algorithm,7.899435781156011e-15,7.899435781156011e-15,"[2.7375108402485903e-08, 8.455790454539515e-08]",0.23654842376708984,0.0
diffrential evolution algorithm,8.486723922065574e-16,8.486723922065574e-16,"[-2.777261317852493e-08, 8.795132144691216e-09]",0.2505300045013428,0.0
diffrential evolution algorithm,1.4082613254561546e-16,1.4082613254561546e-16,"[-8.995678925064627e-09, -7.739760540401983e-09]",0.23299193382263184,0.0
diffrential evolution algorithm,3.2880279322505554e-15,3.2880279322505554e-15,"[-2.3558965367332366e-08, 5.2278131977638505e-08]",0.23390817642211914,0.0
diffrential evolution algorithm,1.275741307026868e-16,1.275741307026868e-16,"[1.0732009121067328e-08, -3.52109513191769e-09]",0.23276948928833008,0.0
diffrential evolution algorithm,5.811014198645287e-15,5.811014198645287e-15,"[-6.709435031562391e-08, 3.6185112330482344e-08]",0.23145818710327148,0.0
diffrential evolution algorithm,8.213149518203068e-15,8.213149518203068e-15,"[-4.64826041780459e-08, 7.779792431055072e-08]",0.2368011474609375,0.0
diffrential evolution algorithm,3.257888832979853e-17,3.257888832979853e-17,"[5.998622529629629e-10, -5.676183013898401e-09]",0.23406410217285156,0.0
diffrential evolution algorithm,2.149755307923577e-15,2.149755307923577e-15,"[4.568951700067955e-08, -7.888177493451277e-09]",0.23426079750061035,0.0
diffrential evolution algorithm,2.1813120508948018e-16,2.1813120508948018e-16,"[3.33276413124373e-09, -1.4388324723016763e-08]",0.2327277660369873,0.0
diffrential evolution algorithm,3.987548578775838e-16,3.987548578775838e-16,"[1.2567955371618797e-08, 1.551777547377787e-08]",0.23290109634399414,0.0
diffrential evolution algorithm,1.9094835233058957e-15,1.9094835233058957e-15,"[-4.2564056426032275e-08, -9.888610815854596e-09]",0.23435044288635254,0.0
diffrential evolution algorithm,1.58331782285413e-16,1.58331782285413e-16,"[1.0513398435696487e-08, -6.9137714467364075e-09]",0.23525142669677734,0.0
diffrential evolution algorithm,2.9091397701722255e-16,2.9091397701722255e-16,"[1.306850813213269e-09, -1.7006061212674333e-08]",0.23433852195739746,0.0
diffrential evolution algorithm,1.4540584393263993e-16,1.4540584393263993e-16,"[-1.2969906835321677e-09, -1.1988480266467084e-08]",0.23716115951538086,0.0
diffrential evolution algorithm,2.1213868963714042e-16,2.1213868963714042e-16,"[5.2928141870891765e-09, 1.35692596562262e-08]",0.2358415126800537,0.0
diffrential evolution algorithm,4.6037476771973006e-15,4.6037476771973006e-15,"[6.274533808104494e-08, 2.582189432037612e-08]",0.23446965217590332,0.0
diffrential evolution algorithm,3.4677876522098263e-16,3.4677876522098263e-16,"[-1.3996170868826797e-08, 1.2283564882866325e-08]",0.23343443870544434,0.0
diffrential evolution algorithm,4.3364848857641444e-17,4.3364848857641444e-17,"[6.16842411473536e-09, 2.3055135649986412e-09]",0.2331712245941162,0.0
diffrential evolution algorithm,2.6485921127418277e-18,2.6485921127418277e-18,"[-1.6235715586295505e-09, 1.1228315435113186e-10]",0.23450422286987305,0.0
diffrential evolution algorithm,3.5654008645553964e-16,3.5654008645553964e-16,"[-1.88100920157508e-08, 1.649401350347335e-09]",0.24898552894592285,0.0
diffrential evolution algorithm,1.1882500169614335e-15,1.1882500169614335e-15,"[-3.2137957165576276e-08, 1.2466022869585068e-08]",0.2328636646270752,0.0
diffrential evolution algorithm,5.699597560170722e-15,5.699597560170722e-15,"[-6.558495062494058e-09, -7.521026328025959e-08]",0.23531556129455566,0.0
diffrential evolution algorithm,2.3103462438439287e-17,2.3103462438439287e-17,"[-4.5585108182346515e-09, 1.524283949425741e-09]",0.23489832878112793,0.0
diffrential evolution algorithm,1.3563579132614527e-14,1.3563579132614527e-14,"[-1.1018643883253297e-08, 1.1594036665281239e-07]",0.2311265468597412,0.0
diffrential evolution algorithm,6.019536112839099e-16,6.019536112839099e-16,"[2.4466265147460903e-08, -1.8317972098597044e-09]",0.23455238342285156,0.0
diffrential evolution algorithm,1.4451276392623366e-14,1.4451276392623366e-14,"[1.5251136167489885e-08, 1.1924210346276206e-07]",0.2348945140838623,0.0
diffrential evolution algorithm,1.1005544397995732e-15,1.1005544397995732e-15,"[-3.3172556898934315e-08, -3.686578176826151e-10]",0.23188161849975586,0.0
diffrential evolution algorithm,2.388854920097856e-15,2.388854920097856e-15,"[4.87353083114682e-08, -3.704678647871416e-09]",0.2345118522644043,0.0
