Method,Srednia Arytmetyczna,Odchylenie Standardowe,Wariancja,Mediana,Kurtoza,Moda,Min,Max
Algorytm Ewolucji Roznicowej,0.0007621475047608256,0.007392350478304581,5.464684559408996e-05,1.0448163404687874e-10,94.88145052071107,1.5783051718615748e-14,1.5783051718615748e-14,0.07429095442401394
Algorytm Strategii Ewolucyjnych,0.4729748870615287,1.2127644614708675,1.4707976390067232,0.03235977361842599,22.116459272681112,5.489283664627433e-06,5.489283664627433e-06,8.852039888712964
Algorytm Genetyczny,0.43788908224823897,0.5584712948990304,0.3118901872261997,0.29350288144776465,8.14675973331535,0.0027232298320943927,0.0027232298320943927,3.142688568870607
System Sztucznego Rozpoznawania Ukladu Immunologicznego,0.2631377845011388,0.5330114233718012,0.28410117744483343,0.07438308511686006,22.727943693328996,1.0000000000000002,0.06670515693054452,3.956621521326038
Algorytm Selekcji Klonalnej,0.44831042928848513,0.26830467697026333,0.07198739968411735,0.4899207062709607,-1.4322371171000445,0.00023125434929850125,0.00023125434929850125,0.8880392315326143
Algorytm Komorek Dendrytycznych,1.0290005831827094,1.355968638283437,1.8386509480082387,0.4918703732643347,2.0788782420009797,0.015226412718261426,0.015226412718261426,5.342893397134022
Algorytm Harmonijnego Przeszukiwania,4.842031594311953,8.910038665724986,79.3887890247143,1.9085310415312184,33.61850281602767,0.0016716544265855588,0.0016716544265855588,73.70137426542244
Algorytm Memetyczny,0.04206429893826061,0.09826571065262313,0.00965614989006505,0.0016731068902300905,10.284058978616894,1.9722626187933054e-05,3.615335013664773e-06,0.5647783219823153
Algorytm Symulowanego Wyzarzania,8.79553903845423,10.375131580839108,107.64335531972502,4.560863100689353,3.417285297769199,0.01584743553966692,0.01584743553966692,45.86957211201431
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,0.1342512649886257,0.1325047861176314,0.01755751834407924,0.08410887979899215,4.624494424187705,0.0006012705245681967,0.0006012705245681967,0.7802548459624579
Losowe Poszukiwanie,19.785277434954725,24.044011333040064,578.114480983359,9.947163921164709,3.615232560089873,0.00012157533268408991,0.00012157533268408991,116.02003047428225
Przeszukiwanie z Zakazem,0.14778234910414967,0.12940035995766838,0.016744453157174145,0.11582935420860457,0.9337811051660903,0.0002968170555253504,0.0002968170555253504,0.6231306198851116
System Kolonii Mrowek,1.2452615023251064,1.15192912851077,1.3269407171115821,0.8864154929352402,2.8699417471694515,0.0018301688627232536,0.0018301688627232536,5.902506448037313
Algorytm Optymalizacji Rojem Czastek,0.1501332349458802,0.14504817547387372,0.02103897320829966,0.10544796161513778,2.6905434897770535,0.0011796892192819624,0.0011796892192819624,0.6880914273086232
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.00015349109193236248,0.00015840899104758576,2.5093408444714105e-08,0.00010483977260301091,4.181960543118533,4.955454847121127e-06,4.955454847121127e-06,0.0007726122388225
